7,1,dip left
8,2,wash right
9,3,wash right
10,4,dip right
11,5,wash right
12,6,wash right
13,7,wash right
14,8,wash right
15,9,wash right
16,10,wash right
17,11,wash right
18,12,wash right
19,13,wash right
20,14,wash right
21,15,dip right
22,16,wash right
6,1,
7,2,dip right
8,3,dip right
9,4,wash right
10,5,wash right
11,6,wash right
12,7,wash right
13,8,wash right
14,9,wash right
16,10,wash right
17,11,wash right
18,12,wash right
20,13,wash right
21,14,wash right
9,1,dip left
10,2,dip left
11,3,wash right
12,4,wash right
13,5,wash right
14,6,wash right
15,7,wash right
18,8,wash right
19,9,wash right
20,10,wash right
21,11,wash right
22,12,wash right
23,13,wash right
24,14,wash right
25,15,wash right
10,1,dip left
11,2,wash right
12,3,wash right
13,4,wash right
14,5,wash right
15,6,wash right
16,7,wash right
18,8,wash right
19,9,wash right
20,10,wash right
21,11,dip right
22,12,wash right
23,13,wash right
24,14,wash right
25,15,wash right
26,16,wash right
27,17,wash right
28,18,wash right
29,19,wash right
30,20,wash right
31,21,wash right
32,22,wash right
6,1,dip left
7,2,dip left
8,3,dip left
9,4,dip left
10,5,dip left
11,6,wash right
12,7,wash right
13,8,wash right
14,9,dip right
15,10,wash right
16,11,wash right
17,12,dip right
18,13,wash right
19,14,wash right
20,15,wash right
21,16,wash right
22,17,dip right
